Down For Double,110,
Doxy,111,
"Drive, The",112,
Duff,113,
Early Autumn,114,
Eclypso,115,
Einbahnstrasse,116,
Elora,117,
Emancipation Blues,118,
Epilogue,119,
Estate,120,
Everything I Have Is Yours,121,
Eye Of The Hurricane,122,
Ezz-thetic,124,
Farmer's Trust,123,
Feels So Good,126,
Fever,128,
52nd Street Theme,129,
Filthy McNasty,130,
First Trip,131,
Five Brothers,132,
Five Spot After Dark,133,
"Flower Is A Lovesome Thing, A",134,
Fly Me To The Moon (In Other Words),135,
Flying Home,136,
"Folks Who Live On The Hill, The",137,
Four Brothers,138,
Fox Hunt,140,
Freight Trane,139,
Frenes’,142,
"Frim Fram Sauce, The",143,
Funky,144,
Georgia On My Mind,145,
Get Me To The Church On Time,146,
Get Out Of Town,148,
Gettin' It Togetha,149,
"Gift! (Recado Bossa Nova), The",150,
Girl Talk,151,
Gravy Waltz,152,
Gregory Is Here,153,
Grooveyard,154,
Hackensack,155,
Hallucinations,156,
Happy Little Sunbeam,157,
Havona,158,
Head And Shoulders,160,
Hi Beck,162,
Hi-Fly,161,
Ho-Ba-La-La,164,
Hocus-Pocus,165,
Holy Land,166,
Honeysuckle Rose,167,
Horace Scope,168,
"Hucklebuck, The",169,
Hummin',170,
Humpty Dumpty,171,
I Believe In You,172,
I Don't Stand A Ghost Of A Chance With You,173,
I Get Along Without You Very Well (Except Sometimes),174,
I Have Dreamed,176,
I Hear A Rhapsody,177,
I Remember Bird,178,
I Remember You,179,
I Thought About You,180,
I Will Wait For You,181,
I Wish I Didn't Love You So,182,
I'll Know,183,
I'm A Fool To Want You,184,
I'm Confessin' (That I Love You),185,
I'm Just A Lucky So And So,186,
I'm Putting All My Eggs In One Basket,187,
I've Found A New Baby (I Found A New Baby),188,
I've Told Ev'ry Little Star,189,
Ice Cream Konitz,190,
Idol Gossip,191,
If I Loved You,192,
If I Should Lose You,193,
If I Were A Bell,194,
Imagination,195,
In Case You Haven't Heard,196,
In Pursuit Of The 27th Man,197,
In The Still Of The Night,198,
In Walked Bud,200,
Indiana (Back Home Again In Indiana),201,
Infant Eyes,202,
Island Birdie,203,
It Could Happen To You,204,
It Might As Well Be Spring,205,
It Will Have To Do Until The Real Thing Comes Along (Until The Real Thing Comes Along),206,
It's A Blue World,207,
It's All Right With Me,208,
It's Only A Paper Moon,209,
It's So Peaceful In The Country,210,
Jackie,211,
Jeannine,212,
Jingles,213,
Jitterbug Waltz,214,
"Jody Grind, The",215,
Joyce's Samba,216,
"Jump, Jive An' Wail",217,
Jumpin' With Symphony Sid,218,
June Is Bustin' Out All Over,219,
Just A Few,220,
Just A Settin' And A Rockin',221,
Just In Time,222,
Just The Way You Are,224,
Kary's Trance,223,
Katrina Ballerina,226,
"Kicker, The",227,
Kids Are Pretty People,228,
Killer Joe,229,
Lady Day,230,
Lakes,231,
Last Night When We Were Young,232,
"Last Time I Saw Paris, The",233,
Leila,234,
Lennie's Pennies,235,
Let's Cool One,236,
Let's Fall In Love,237,
Let's Get Lost,238,
Like Sonny (Simple Like),239,
Like Young,240,
Limbo,241,
Little Chicago Fire,242,
Little Rootie Tootie,243,
Little Sunflower,244,
Locomotion,245,
Lone Jack,246,
Lonely Dreams,248,
Look For The Silver Lining,249,
Lotus Blossom,250,
Love Is Just Around The Corner,251,
Love Vibrations,252,
"Love, Look Away",253,
"Lovely Way To Spend An Evening, A",254,
Lover,256,
"Lover Man (Oh, Where Can You Be?)",255,
Make Someone Happy,258,
Manteca,259,
Memories Of You,260,
Menina Flor,261,
"Mercy, Mercy, Mercy",262,
Miles Ahead,264,
Minor Mishap,263,
Minor Mood,266,
Theme From Mr. Broadway,267,
Mr. Magic,268,
Moanin',270,
Monk's Mood,269,
Monk's Shop,272,
Moon Rays,273,
Moon River,274,
Moonglow,275,
Moose The Mooche,276,
More Than You Know,277,
Morning Dance,278,
Moten Swing,279,
Move,280,
My Attorney Bernie,281,
My Little Suede Shoes,282,
My Old Flame,283,
Nature Boy,284,
"Nearness Of You, The",285,
Night Song,286,
No Moe,288,
No Splice,289,
North Atlantic Run,290,
Now See How You Are,292,
Now's The Time,293,
Nutville,294,
Off Minor,295,
"Oh, What A Beautiful Mornin'",296,
Old Devil Moon,297,
On The Sunny Side Of The Street,298,
One By One,299,
One Foot In The Gutter,300,
One Morning In May,302,
Our Language Of Love,301,
Out Back Of The Barn,304,
Oye Como Va,305,
Pannonica,306,
Parisian Thoroughfare,307,
Peel Me A Grape,308,
Pennies From Heaven,309,
People Will Say We're In Love,310,
Perdido,311,
Petite Fleur,312,
Petits Machins,313,
Phase Dance,314,
Picadillo (a la Puente),316,
Pick Yourself Up,317,
Polka Dots And Moonbeams,318,
Portrait of Jennie,319,
Prisoner Of Love,320,
Pursuance,321,
Question & Answer,322,
Quicksilver,324,
Ran Kan Kan,325,
Red Cross,326,
"Red One, The",327,
Rhythm-a-ning,328,
Right As Rain,329,
Robbins Nest,330,
Rockin' In Rhythm,331,
Rosetta,332,
Round Trip,333,
Route 66,334,
Rubberneck,335,
Russian Lullaby,336,
Sack Of Woe,337,
Saint James Infirmary,338,
St. Louis Blues,366,
St. Thomas,339,
Salt Peanuts,340,
Sandu,341,
Say It (Over And Over Again),342,
Sentimental Journey,343,
September Song,344,
Serenade To A Soul Sister,345,
Serene,346,
Shine,347,
Shutterbug,348,
Silver's Serenade,349,
Simone,350,
Sippin' At Bells,351,
Skyliner,352,
Slipped Disc,353,
Smoke Gets In Your Eyes,354,
Smoke Rings,356,
Softly As In A Morning Sunrise,355,
Some Other Blues,358,
Song For Bilbao,359,
Songbird (Thank You For Your Lovely Song),360,
Soul Eyes,361,
Soultrane,362,
Speak Like A Child,363,
Speak Low,364,
Spiral,365,
Stardust,367,
Straight Life,368,
Strayhorn 2,369,
Strode Rode,370,
Strollin',371,
Struttin' With Some Barbecue,372,
Subconscious Lee,373,
Suddenly It's Spring,374,
Summer In Central Park,375,
S'posin',376,
Sweet Sue-Just You,377,
"Sweetest Sounds, The",378,
"Swingin' Shepherd Blues, The",379,
Syeeda's Song Flute,380,
'Tain't What You Do (It's The Way That Cha Do It),382,
Take The Coltrane,383,
Tanga,384,
Tangerine,386,
Teenie's Blues,387,
Tempus Fugit,388,
Tenderly,389,
Tenor Madness,390,
There's A Small Hotel,391,
These Foolish Things (Remind Me Of You),392,
Things To Come,393,
"Things We Did Last Summer, The",394,
This I Dig Of You,395,
This Masquerade,396,
This Year's Kisses,397,
Three Base Hit,398,
"Thumper, The",399,
Till There Was You,400,
Tippin',401,
Tomorrow's Destiny,402,
Too Young,403,
Trane's Blues,404,
Turnaround,405,
Twisted,406,
Two Cigarettes In The Dark,407,
"Two Degrees East, Three Degrees West",408,
Until I Met You (Corner Pocket),409,
Walkin' Shoes,410,
"Walkin' Thing, A",411,
Warm Valley,412,
Watch What Happens,413,
Watercolors,414,
"Way You Look Tonight, The",415,
"Weaver Of Dreams, A",416,
Webb City,417,
Wendy,418,
What'll I Do?,419,
What's New?,420,
When Lights Are Low,421,
Whisper Not,422,
Who Can I Turn To (When Nobody Needs Me),423,
"Whopper, The",424,
Why Do I Love You?,425,
Willow Weep For Me,426,
With A Song In My Heart,427,
Without A Song,428,
"Wonderful Day Like Today, A",430,
Work Song,429,
Wow,432,
Yardbird Suite,433,
You Are Beautiful,434,
You Can Depend On Me,435,
You'd Be So Nice To Come Home To,436,
You're My Everything,437,
You're Nobody 'til Somebody Loves You,438,
